2026-04-11 01:43:59.902 INFO  [49013] [loggerInit@18] **********************************************
2026-04-11 01:43:59.903 INFO  [49013] [loggerInit@19]  OrbbecViewer launched! Welcome!! 
2026-04-11 01:43:59.903 INFO  [49013] [loggerInit@20]  	- Version: V1.10.35
2026-04-11 01:43:59.903 INFO  [49013] [loggerInit@21]  	- Author: 
2026-04-11 01:43:59.903 INFO  [49013] [loggerInit@22]  	- E-Mail: 
2026-04-11 01:43:59.903 INFO  [49013] [loggerInit@23]  	- Company: orbbec
2026-04-11 01:43:59.903 INFO  [49013] [loggerInit@24]  	- Website: http://www.orbbec.com.cn/
2026-04-11 01:43:59.903 INFO  [49013] [loggerInit@25] **********************************************
2026-04-11 01:44:01.258 ERROR [49013] [OBDeviceExt::OBDeviceExt@33] Device is disconnect!
2026-04-11 01:44:01.258 DEBUG [49013] [FrameFilterManager::FrameFilterManager@13] filter name:ThresholdFilter enable:0
2026-04-11 01:44:01.275 ERROR [49013] [D2CPipeline::setSync@1225] enable frame sync failed!
2026-04-11 01:44:03.259 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 0@Flash write protection -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:03.261 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 2@LDP enable -> 0, range: 0 - 1, default: 1
2026-04-11 01:44:03.262 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 3@Laser emitter enable -> 0, range: 0 - 1, default: 1
2026-04-11 01:44:03.262 INFO  [49085] [PropertyManager::syncProperty@442] sync property: 18@IR Mirror -> 0, range: 0 - 1, default: 0
2026-04-11 01:44:03.263 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 8@Temperature compensation enable -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:03.264 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 14@Mirror Depth Stream -> 0, range: 0 - 1, default: 1
2026-04-11 01:44:03.264 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 17@HoleFilter -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:03.264 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 18@IR Mirror -> 0, range: 0 - 1, default: 0
2026-04-11 01:44:03.264 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 22@Depth threshold min -> 0, range: 0 - 15000, default: 0
2026-04-11 01:44:03.264 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 23@Depth threshold max -> 10000, range: 0 - 15000, default: 10000
2026-04-11 01:44:03.264 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 24@Depth soft filter -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:03.265 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 32@LDP Status -> 0, range: 0 - 1, default: 1
2026-04-11 01:44:03.265 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 40@Max Diff -> 6, range: 1 - 10000, default: 6
2026-04-11 01:44:03.265 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 41@Max Speckle Size -> 50, range: 1 - 1000, default: 50
2026-04-11 01:44:03.265 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 42@Hardware D2C -> 0, range: 0 - 1, default: 1
2026-04-11 01:44:03.266 INFO  [49087] [PropertyManager::syncProperty@442] sync property: 81@Mirror RGB Stream -> 0, range: 0 - 1, default: 0
2026-04-11 01:44:03.267 INFO  [49087] [PropertyManager::syncProperty@442] sync property: 2000@Color Sensor Auto Exposure -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:03.268 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2001@Color Sensor Exposure -> 200, range: 1 - 5000, default: 157
2026-04-11 01:44:03.269 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2002@Color Sensor Gain -> 0, range: 0 - 100, default: 0
2026-04-11 01:44:03.270 INFO  [49085] [PropertyManager::syncProperty@442] sync property: 2025@IR Sensor Auto Exposure -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:03.270 INFO  [49085] [PropertyManager::syncProperty@449] sync property: 2026@IR Sensor Exposure -> 8000, range: 0 - 10000, default: 8000
2026-04-11 01:44:03.271 INFO  [49085] [PropertyManager::syncProperty@449] sync property: 2027@IR Sensor Gain -> 2978, range: 0 - 9999, default: 2978
2026-04-11 01:44:03.272 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2005@UVC image brightness -> 0, range: -64 - 64, default: 0
2026-04-11 01:44:03.273 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2006@UVC image sharpness setting -> 3, range: 0 - 6, default: 3
2026-04-11 01:44:03.274 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2008@UVC image saturation setting -> 64, range: 0 - 128, default: 64
2026-04-11 01:44:03.275 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2009@UVC image contrast setting -> 32, range: 0 - 64, default: 32
2026-04-11 01:44:03.276 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2010@UVC image gamma setting -> 100, range: 72 - 500, default: 100
2026-04-11 01:44:03.276 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2012@Auto Exposure Priority -> 0, range: 0 - 1, default: 0
2026-04-11 01:44:03.277 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2013@Backlight Compensation -> 1, range: 0 - 2, default: 1
2026-04-11 01:44:03.278 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2015@Power Line Frequency -> 1, range: 0 - 2, default: 1
2026-04-11 01:44:03.278 INFO  [49085] [PropertyManager::read@566] read property: 2026@IR Sensor Exposure -> 8000
2026-04-11 01:44:03.279 INFO  [49085] [PropertyManager::syncProperty@449] sync property: 2026@IR Sensor Exposure -> 8000, range: 0 - 10000, default: 8000
2026-04-11 01:44:03.280 INFO  [49085] [PropertyManager::read@566] read property: 2027@IR Sensor Gain -> 2978
2026-04-11 01:44:03.281 INFO  [49085] [PropertyManager::syncProperty@449] sync property: 2027@IR Sensor Gain -> 2978, range: 0 - 9999, default: 2978
2026-04-11 01:44:03.281 INFO  [49085] [OBSensorExt::syncPropertiesFunc@1122] OBSensorExt sync all properties finish.
2026-04-11 01:44:03.281 INFO  [49088] [PropertyManager::syncProperty@442] sync property: 14@Mirror Depth Stream -> 0, range: 0 - 1, default: 1
2026-04-11 01:44:03.281 INFO  [49087] [PropertyManager::read@566] read property: 2001@Color Sensor Exposure -> 200
2026-04-11 01:44:03.282 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2001@Color Sensor Exposure -> 200, range: 1 - 5000, default: 157
2026-04-11 01:44:03.283 INFO  [49087] [PropertyManager::read@566] read property: 2005@UVC image brightness -> 0
2026-04-11 01:44:03.284 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2005@UVC image brightness -> 0, range: -64 - 64, default: 0
2026-04-11 01:44:03.284 INFO  [49087] [PropertyManager::read@566] read property: 2002@Color Sensor Gain -> 0
2026-04-11 01:44:03.285 INFO  [49087] [PropertyManager::syncProperty@449] sync property: 2002@Color Sensor Gain -> 0, range: 0 - 100, default: 0
2026-04-11 01:44:03.285 INFO  [49087] [OBSensorExt::syncPropertiesFunc@1122] OBSensorExt sync all properties finish.
2026-04-11 01:44:03.285 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 75@Depth Precision Level -> 0, range: 0 - 6, default: 0
2026-04-11 01:44:03.285 INFO  [49088] [PropertyManager::syncProperty@442] sync property: 2016@Depth Sensor Auto Exposure -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:03.286 INFO  [49088] [PropertyManager::syncProperty@449] sync property: 2017@Depth Sensor Exposure -> 8000, range: 0 - 10000, default: 8000
2026-04-11 01:44:03.287 INFO  [49088] [PropertyManager::syncProperty@449] sync property: 2018@Depth Sensor Gain -> 2978, range: 0 - 9999, default: 2978
2026-04-11 01:44:03.287 INFO  [49088] [PropertyManager::read@566] read property: 2017@Depth Sensor Exposure -> 8000
2026-04-11 01:44:03.288 INFO  [49088] [PropertyManager::syncProperty@449] sync property: 2017@Depth Sensor Exposure -> 8000, range: 0 - 10000, default: 8000
2026-04-11 01:44:03.289 INFO  [49088] [PropertyManager::read@566] read property: 2018@Depth Sensor Gain -> 2978
2026-04-11 01:44:03.290 INFO  [49088] [PropertyManager::syncProperty@449] sync property: 2018@Depth Sensor Gain -> 2978, range: 0 - 9999, default: 2978
2026-04-11 01:44:03.290 INFO  [49088] [OBSensorExt::syncPropertiesFunc@1122] OBSensorExt sync all properties finish.
2026-04-11 01:44:03.290 INFO  [49083] [PropertyManager::syncProperty@442] sync property: 81@Mirror RGB Stream -> 0, range: 0 - 1, default: 0
2026-04-11 01:44:03.291 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 99@Laser Energy Level Control -> 1, range: 0 - 1, default: 0
2026-04-11 01:44:03.293 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 100@LDP Measure Distance -> 1927, range: -1409275391 - 0, default: 734590336
2026-04-11 01:44:03.294 INFO  [49083] [PropertyManager::syncProperty@449] sync property: 119@Laser Energy Actual Level -> 1, range: -1409275391 - 0, default: 734590336
2026-04-11 01:44:03.395 INFO  [49083] [OBDeviceExt::OBDeviceExt@116] OBDeviceExt sync all properties finish.
2026-04-11 01:44:04.425 INFO  [49013] [OBSensorExt::startStream@846] startStream@Color, witdh=640, height=480, fps=15, format=MJPEG
2026-04-11 01:44:04.533 INFO  [49013] [OBSensorExt::startStream@846] startStream@IR, witdh=640, height=400, fps=15, format=Y10
2026-04-11 01:44:04.657 INFO  [49110] [OBSensorExt::newFrameCallback@61] First frame of IR received: timestamp=1775843044655, systemTimestamp=1775843044655
2026-04-11 01:44:04.733 INFO  [49013] [PropertyManager::read@562] read property: 3@Laser emitter enable -> 1
2026-04-11 01:44:04.734 INFO  [49013] [PropertyManager::read@566] read property: 119@Laser Energy Actual Level -> 1
2026-04-11 01:44:04.734 INFO  [49013] [PropertyManager::read@562] read property: 2025@IR Sensor Auto Exposure -> 1
2026-04-11 01:44:04.735 INFO  [49013] [PropertyManager::read@566] read property: 2026@IR Sensor Exposure -> 8000
2026-04-11 01:44:04.736 INFO  [49013] [PropertyManager::syncProperty@449] sync property: 2026@IR Sensor Exposure -> 8000, range: 0 - 10000, default: 8000
2026-04-11 01:44:04.736 INFO  [49013] [PropertyManager::read@566] read property: 2026@IR Sensor Exposure -> 8000
2026-04-11 01:44:04.737 INFO  [49013] [PropertyManager::syncProperty@449] sync property: 2026@IR Sensor Exposure -> 8000, range: 0 - 10000, default: 8000
2026-04-11 01:44:04.738 INFO  [49013] [PropertyManager::read@566] read property: 2027@IR Sensor Gain -> 1728
2026-04-11 01:44:04.739 INFO  [49013] [PropertyManager::syncProperty@449] sync property: 2027@IR Sensor Gain -> 1728, range: 0 - 9999, default: 1728
2026-04-11 01:44:04.739 INFO  [49013] [PropertyManager::syncProperty@442] sync property: 2025@IR Sensor Auto Exposure -> 1, range: 0 - 1, default: 1
2026-04-11 01:44:04.740 INFO  [49013] [PropertyManager::read@566] read property: 2026@IR Sensor Exposure -> 8000
2026-04-11 01:44:04.741 INFO  [49013] [PropertyManager::syncProperty@449] sync property: 2026@IR Sensor Exposure -> 8000, range: 0 - 10000, default: 8000
2026-04-11 01:44:04.814 INFO  [49013] [ImageSensorMonitorWidget::drawContent@173] IR create texture id:17
2026-04-11 01:44:05.271 INFO  [49013] [OBSensorExt::stopStream@870] stopStream@IR
2026-04-11 01:44:05.271 INFO  [49106] [OBSensorExt::newFrameCallback@61] First frame of Color received: timestamp=3187908146, systemTimestamp=1775843044958
2026-04-11 01:44:05.472 INFO  [49013] [PropertyManager::read@562] read property: 3@Laser emitter enable -> 0
2026-04-11 01:44:05.472 INFO  [49013] [ImageSensorMonitorWidget::drawContent@173] Color create texture id:18
2026-04-11 01:44:05.590 INFO  [49013] [OBSensorExt::startStream@846] startStream@Depth, witdh=640, height=400, fps=15, format=Y11
