epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2072,1.82069,4.08803,1.54626,0.00096,0.08333,0.00067,0.00026,1.34432,4.13834,1.17605,7.145e-05,7.145e-05,7.145e-05
2,30.0036,1.51306,3.70626,1.2027,0.00451,0.39583,0.30031,0.21039,1.13071,4.01181,0.95571,0.000155634,0.000155634,0.000155634
3,44.7506,1.44164,3.00851,1.09061,0.00659,0.5,0.32093,0.19437,1.3324,3.74473,0.9277,0.00023812,0.00023812,0.00023812
4,59.7654,1.37498,2.32208,1.01221,0.00298,0.33333,0.33167,0.2212,1.39537,3.61923,0.9765,0.000318909,0.000318909,0.000318909
5,75.0616,1.32715,1.84958,1.0028,0.00738,0.47917,0.38565,0.23681,1.27834,3.51171,0.94803,0.000397999,0.000397999,0.000397999
6,89.7121,1.25325,1.407,0.97074,0.0067,0.47917,0.44125,0.27668,1.17929,3.4156,0.93279,0.000475393,0.000475393,0.000475393
7,104.667,1.20093,1.2727,0.97147,0.00365,0.35417,0.30415,0.16073,1.2585,3.62437,0.96678,0.000551088,0.000551088,0.000551088
8,119.079,1.21734,1.25932,1.0055,0.00083,0.08333,0.08198,0.03296,1.77141,3.95673,1.18065,0.000625086,0.000625086,0.000625086
9,133.574,1.16172,1.12024,0.99891,1,0.22119,0.29219,0.22242,1.22564,3.22442,0.98542,0.000697386,0.000697386,0.000697386
10,148.062,1.10462,1.05457,0.97732,1,0.28909,0.57465,0.36744,1.20789,3.04464,0.98226,0.000767989,0.000767989,0.000767989
11,162.483,1.03892,0.98728,0.96516,1,0.17622,0.75828,0.49878,1.15596,2.91741,0.97371,0.000836894,0.000836894,0.000836894
12,176.891,1.10025,1.02336,0.97274,1,0.23294,0.7536,0.45967,1.31636,2.91182,1.0495,0.000904101,0.000904101,0.000904101
13,191.328,1.10115,0.97314,0.95467,1,0.15536,0.87262,0.53583,1.36558,2.67849,1.04872,0.000969611,0.000969611,0.000969611
14,205.708,1.06649,0.89548,0.95527,0.99527,0.29167,0.89489,0.64268,1.05489,2.46369,0.93891,0.00103342,0.00103342,0.00103342
15,220.061,1.07995,0.96516,0.98044,0.95467,0.26602,0.92533,0.63171,1.10103,2.49458,0.93186,0.00109554,0.00109554,0.00109554
16,234.519,1.00767,0.91934,0.94088,1,0.28431,0.91806,0.57363,1.24891,2.36991,1.01647,0.00115595,0.00115595,0.00115595
17,248.978,0.96092,0.86949,0.92779,0.96398,0.45027,0.94711,0.65121,1.12065,2.10724,0.9842,0.00120265,0.00120265,0.00120265
18,263.45,1.07563,0.92258,0.95328,0.87089,0.65948,0.96819,0.57099,1.40599,1.98916,1.06428,0.0011885,0.0011885,0.0011885
19,277.875,1.12494,0.92901,1.00113,0.87838,0.71457,0.98062,0.7385,0.92694,1.90723,0.91892,0.00117435,0.00117435,0.00117435
