epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8631,1.65736,4.04266,1.41246,0.00241,0.21795,0.08785,0.05993,1.04472,4.1504,0.99739,0.0001,0.0001,0.0001
2,54.5121,1.27591,3.40108,1.07982,0.00414,0.5,0.25808,0.16581,1.14305,4.05692,0.96135,0.000210396,0.000210396,0.000210396
3,78.9338,1.31048,2.52404,1.06817,0.00402,0.5,0.34846,0.21704,1.12432,3.90964,0.94198,0.000318565,0.000318565,0.000318565
4,103.398,1.25235,1.91452,1.02397,0.00419,0.5,0.37069,0.27512,1.0139,3.83545,0.9029,0.000424506,0.000424506,0.000424506
5,127.227,1.19277,1.50597,0.99383,0.97742,0.21154,0.36407,0.28247,1.0891,3.63978,0.9478,0.00052822,0.00052822,0.00052822
6,151.418,1.20295,1.2495,1.00433,0.99352,0.25,0.42876,0.32414,1.0576,3.41857,0.92943,0.000629706,0.000629706,0.000629706
7,176.548,1.13434,1.15256,1.00049,1,0.15128,0.29266,0.22381,1.12623,3.2717,0.95918,0.000728965,0.000728965,0.000728965
8,201.598,1.10593,1.08006,0.97682,0.93607,0.09615,0.30637,0.10578,1.77384,3.36515,1.19302,0.000825996,0.000825996,0.000825996
9,226.145,1.11781,1.07689,0.97799,0.94967,0.19231,0.40361,0.19647,1.82521,3.15987,1.20225,0.0009208,0.0009208,0.0009208
10,249.991,1.0601,0.9842,0.96385,0.87029,0.18968,0.56804,0.34169,1.2789,2.64259,1.01087,0.00101338,0.00101338,0.00101338
11,274.432,1.02666,0.98207,0.9692,0.71711,0.27935,0.57805,0.32163,1.68274,2.70653,1.17527,0.00110373,0.00110373,0.00110373
12,298.205,1.01887,0.94854,0.94975,0.82454,0.46458,0.81864,0.49523,1.48478,2.40815,1.08242,0.00111388,0.00111388,0.00111388
13,322.928,0.9698,0.89125,0.93219,0.90272,0.70911,0.95098,0.65836,1.12844,1.9418,0.99086,0.0011015,0.0011015,0.0011015
14,347.453,1.0139,0.85907,0.94168,0.90243,0.70395,0.90701,0.4665,1.7984,2.19528,1.19105,0.00108913,0.00108913,0.00108913
15,372.288,1.02275,0.8644,0.94691,0.8727,0.84161,0.98008,0.70246,1.05997,1.49477,0.95724,0.00107675,0.00107675,0.00107675
16,397.155,1.00527,0.81941,0.94444,0.67364,0.67771,0.72496,0.35497,1.91481,2.21198,1.28912,0.00106437,0.00106437,0.00106437
17,421.448,0.95818,0.83022,0.93934,0.9663,0.9644,0.98147,0.72004,1.0189,1.28357,0.92772,0.001052,0.001052,0.001052
18,445.923,0.96628,0.78355,0.94855,0.91977,0.97186,0.99194,0.70902,1.0314,0.95596,0.93436,0.00103962,0.00103962,0.00103962
19,470.05,0.92221,0.77127,0.92545,0.94012,0.94863,0.99113,0.71287,1.00087,0.93584,0.91563,0.00102725,0.00102725,0.00102725
20,494.525,0.90542,0.74284,0.92192,0.95034,0.96189,0.99335,0.79813,0.77592,0.71709,0.8609,0.00101488,0.00101488,0.00101488
21,519.275,0.96103,0.76593,0.93319,0.96113,0.96507,0.99435,0.77246,0.7981,0.764,0.86572,0.0010025,0.0010025,0.0010025
22,543.279,0.95349,0.74454,0.91618,0.96531,0.96894,0.99435,0.72339,1.01636,0.81707,0.91336,0.000990125,0.000990125,0.000990125
23,569.078,0.98871,0.73392,0.94125,0.99092,0.96418,0.99435,0.78485,0.79704,0.71434,0.86,0.00097775,0.00097775,0.00097775
24,593.233,1.00441,0.73053,0.93142,0.99328,0.94875,0.99446,0.74821,0.87692,0.7675,0.88637,0.000965375,0.000965375,0.000965375
25,617.186,0.92216,0.72013,0.92225,0.95464,0.96613,0.99472,0.82072,0.77376,0.74543,0.85491,0.000953,0.000953,0.000953
26,642.495,0.89001,0.69275,0.91305,0.95174,0.97622,0.99472,0.82848,0.72082,0.66267,0.84781,0.000940625,0.000940625,0.000940625
27,668.947,0.8762,0.68044,0.91561,0.96381,0.97803,0.99422,0.79752,0.78245,0.66251,0.86166,0.00092825,0.00092825,0.00092825
28,692.897,0.89917,0.66593,0.91853,0.96136,0.98681,0.995,0.76507,0.95413,0.70193,0.90629,0.000915875,0.000915875,0.000915875
29,718.808,0.86202,0.66201,0.90325,0.9735,0.98252,0.995,0.76977,0.83023,0.64923,0.86262,0.0009035,0.0009035,0.0009035
30,743.055,0.86145,0.65228,0.9062,0.97969,0.96906,0.995,0.72574,0.97387,0.65599,0.90316,0.000891125,0.000891125,0.000891125
